idd,chu_jinko,youchi_jinko,kumin_jinko
276,13.93425187,10.62097158,493.4344753
277,23.64578435,20.10881405,772.7990318
278,21.89982516,16.20587062,791.0216849
279,23.67547446,20.80571998,1022.350034
280,23.67547446,20.80571998,1022.350034
281,23.67547446,20.80571998,1022.350034
282,5.968678576,5.036072548,195.8472658
283,8.829782648,8.363479634,304.0296358
284,5.968678576,5.036072548,195.8472658
285,8.829782648,8.363479634,304.0296358
286,17.68318059,16.24830335,717.2810197
287,23.67547446,20.80571998,1022.350034
288,17.68318059,16.24830335,717.2810197
